group_id,equipment_process,equipment_maker,equipment_name,equipment_id,utility,size,입상/수평,path_count,spacing,elevation,level,bop,avg_similarity,trunk_z,trunk_width,trunk_depth,trunk_thick,trunk_xy_spread,fan_in_z_min,fan_in_z_max,fan_out_z_min,fan_out_z_max,poc_ids
1,CLEAN,-,WTNHJ02_,c480262e-d022-45e5-81e0-c30544295ba2,-,1/2B,수평,10,1828.9,15140.4,A/F,1440.4,0.7528,15140.4,813.6,6006.2,529.7,6054.5,-,-,-,-,293286d2-c214-4c96-8024-cb47775a593a|a04dc7ad-39a7-474f-a929-22ca8178edcf|293f3198-8613-4883-abb9-622bfbf96e53|c789b935-73ca-4329-a746-f02aeb82c99d|5d3cd53a-d074-458a-b6c1-56434f8606b6|d0b38e6d-3e26-4712-b8f5-80984f61b797|034b2cc4-706b-42e3-bf59-8a7831d413ac|2c562f2d-7957-424b-b999-bc891cce1c58|36f6875d-9328-4457-bbc0-115297db8973|b838c114-3ff8-41f1-8b31-cd03961403f6
2,CLEAN,-,WTNHJ02_,c480262e-d022-45e5-81e0-c30544295ba2,ALKA,150A,입상,2,460.0,13373.2,CSF,5373.2,0.7262,13373.2,3770.1,250.0,319.4,3778.3,-,-,14685.0,15495.0,0f729411-9f38-4627-9662-07e2aabb6d8d|8a42419d-8a7b-454d-90a3-0db99a1fe4d3
3,CLEAN,-,WTNHJ02_,c480262e-d022-45e5-81e0-c30544295ba2,T2(IPA),3/4B,수평,2,188.6,14795.0,A/F,1095.0,0.7375,14795.0,441.1,334.2,10.0,538.8,-,-,15495.0,15495.0,342137f4-937d-4683-ba3b-570d31d2c5e0|86b4be9f-d440-415b-9bd6-7ec7f1a39ea0
4,CMP,-,kscta01,66fe4277-5d3f-4982-b7ae-b72319263ba2,ALKA,100A,수평,13,1156.1,14806.2,A/F,1106.2,0.7627,14806.2,2561.0,6250.0,200.0,6688.9,-,-,15337.5,17000.0,e0a5bb05-6d8f-4a23-a8ca-4dd3e6416c4f|4e98ce54-f730-4c74-9677-4c8f7ff0983d|c6aee6ca-0ca5-4a33-9947-5e3695a4bbb4|0d676e77-6fd0-4655-a5be-af20b82a082a|fc34cf28-cb57-4af2-86eb-2261a95407cc|3424271a-5b83-4860-b675-73a953de2d75|0dc415c5-b50b-4819-8458-a234ac600805|d914a43e-c878-496e-8030-48b48d17ee22|cae048f3-3e2e-41a2-b597-c764732ff12a|0457f5d5-245c-4cd9-9a7d-6577f157ed18|81d2348c-87a8-4cae-8238-bbc05b3658e2|d3eacff7-de5d-4b98-b074-48eb53e8ee22|3c807e98-23e0-4b70-9781-c82465547c1a
5,DIFF,samsung,Comp_Pump_KAS_MU300P_9??,a81d5b97-c435-4225-9347-fea730069d96,-,1/2B,입상,2,50.0,5415.8,FSF,2415.8,0.7789,5415.8,2870.0,3135.5,289.3,4250.7,3520.0,4200.9,5907.4,5934.4,76b7bdda-7218-44fe-b7da-fe1c5bd9eae3|ab6f8e8a-b0ca-4d3e-a537-ee5ecc0cf4c9
6,DIFF,-,DANHJ14,9696f5bb-6472-4942-9a6a-66cbe0e1da53,GN2,1/8B,입상,2,205.7,13362.0,CSF,5362.0,0.9864,13362.0,2922.3,20.0,3.2,2922.4,12168.2,12590.8,14600.4,15455.5,8e67f73e-445c-482f-9d3c-bdd1905fd6b6|590729b9-edc3-4f7f-afb0-d6adf6352666
7,ETCH,samsung,Comp_Pump_KAS_MU300P_9??,335469ed-6e79-401b-b7ce-48ee9226211e,-,20A,수평,2,27.1,15103.8,A/F,1403.8,0.7813,15103.8,2571.5,6965.4,257.3,7406.2,14596.5,14633.5,-,-,7dfe605d-5457-4db8-9139-17c7a37277b9|0580f556-8c94-40cb-9b6f-4c57f7bd988a
8,ETCH,TEST,ELOHJ07,4dbf9af6-759a-4c99-a2bc-845fd0bc2b81,GN2,1/4B,수평,6,1415.1,15281.9,A/F,1581.9,0.6796,15281.9,2552.1,1837.1,264.8,2665.0,-,-,-,-,776cbd6a-de4d-4f13-a073-90906b91b5c7|776cbd6a-de4d-4f13-a073-90906b91b5c7|b10cbff6-7197-4d7a-be0b-bbee9e733151|b10cbff6-7197-4d7a-be0b-bbee9e733151|9d0d04ba-3f1f-46da-8727-e34af766fec7|9d0d04ba-3f1f-46da-8727-e34af766fec7
9,ETCH,TEST,ELOHJ07,4dbf9af6-759a-4c99-a2bc-845fd0bc2b81,GN2,1/4B,수평,5,1192.9,15265.0,A/F,1565.0,0.6787,15265.0,2552.1,1651.2,264.8,2665.0,-,-,-,-,f8d45263-20de-4375-b5db-26c7bcfef5dd|f8d45263-20de-4375-b5db-26c7bcfef5dd|8b0595c3-de30-41fb-8f6f-615e6d3d8999|18e258b9-a272-4429-9708-3ade1c5fb075|18e258b9-a272-4429-9708-3ade1c5fb075
10,ETCH,TEST,ELOHJ07,4dbf9af6-759a-4c99-a2bc-845fd0bc2b81,PN2,1/4B,수평,8,513.4,15075.6,A/F,1375.6,0.7319,15075.6,2804.1,2133.5,243.6,3432.7,-,-,15500.0,15500.0,c2916053-d5a6-4fbe-b1f1-3b362c35de47|c2916053-d5a6-4fbe-b1f1-3b362c35de47|cbf9d256-01d6-4e12-b815-a4f16dffaa26|cbf9d256-01d6-4e12-b815-a4f16dffaa26|d4c307f8-fc02-4fc8-a96b-299ed5e1b044|d4c307f8-fc02-4fc8-a96b-299ed5e1b044|e1593423-4887-441a-b78f-63dbb8fb408d|e1593423-4887-441a-b78f-63dbb8fb408d
