group_id,equipment_process,equipment_maker,equipment_name,equipment_id,utility,size,path_count,unique_poc_count,avg_similarity,max_start_xy_dist,trunk_z,trunk_xy_spread,trunk_path_count,is_estimated,fan_in_z_min,fan_in_z_max,fan_out_z_min,fan_out_z_max,poc_ids
1,CMP,-,kscta01,66fe4277-5d3f-4982-b7ae-b72319263ba2,AKWW,20A,36,7,0.749,4016.6,14699.1,4287.2,36,True,15495.0,15495.0,15495.0,15495.0,61af9d85-97ea-4d2d-bc56-494b117234f9|61af9d85-97ea-4d2d-bc56-494b117234f9|61af9d85-97ea-4d2d-bc56-494b117234f9|61af9d85-97ea-4d2d-bc56-494b117234f9|61af9d85-97ea-4d2d-bc56-494b117234f9|61af9d85-97ea-4d2d-bc56-494b117234f9|7404da16-2d9a-48ba-979a-478b71ebbb49|7404da16-2d9a-48ba-979a-478b71ebbb49|7404da16-2d9a-48ba-979a-478b71ebbb49|7404da16-2d9a-48ba-979a-478b71ebbb49|7404da16-2d9a-48ba-979a-478b71ebbb49|b5c42f37-046a-4ba9-903b-6512f67dbcab|b5c42f37-046a-4ba9-903b-6512f67dbcab|b5c42f37-046a-4ba9-903b-6512f67dbcab|b5c42f37-046a-4ba9-903b-6512f67dbcab|b5c42f37-046a-4ba9-903b-6512f67dbcab|f44605a5-9554-40f2-b90a-6e0ce23a7068|f44605a5-9554-40f2-b90a-6e0ce23a7068|f44605a5-9554-40f2-b90a-6e0ce23a7068|f44605a5-9554-40f2-b90a-6e0ce23a7068|f44605a5-9554-40f2-b90a-6e0ce23a7068|bd91c40b-ef5b-478f-a9fb-31b6ec652c29|bd91c40b-ef5b-478f-a9fb-31b6ec652c29|bd91c40b-ef5b-478f-a9fb-31b6ec652c29|bd91c40b-ef5b-478f-a9fb-31b6ec652c29|bd91c40b-ef5b-478f-a9fb-31b6ec652c29|97e80aa5-0809-40de-83ce-00c29c268095|97e80aa5-0809-40de-83ce-00c29c268095|97e80aa5-0809-40de-83ce-00c29c268095|97e80aa5-0809-40de-83ce-00c29c268095|97e80aa5-0809-40de-83ce-00c29c268095|1877e033-0fd9-4e9d-ad41-3b3489080f8c|1877e033-0fd9-4e9d-ad41-3b3489080f8c|1877e033-0fd9-4e9d-ad41-3b3489080f8c|1877e033-0fd9-4e9d-ad41-3b3489080f8c|1877e033-0fd9-4e9d-ad41-3b3489080f8c
2,METAL,-,SLWHJ02,b7d7e257-54d5-48bf-b77b-73f2191e6445,Ar,1/4B,31,15,0.7386,2837.9,15109.2,4444.1,31,True,-,-,-,-,1cb270c4-7a38-44c3-8658-32402c62f98b|1cb270c4-7a38-44c3-8658-32402c62f98b|1cb270c4-7a38-44c3-8658-32402c62f98b|8db32389-232b-400a-9cbb-4a7ffca27fc6|8db32389-232b-400a-9cbb-4a7ffca27fc6|8db32389-232b-400a-9cbb-4a7ffca27fc6|92551b55-7ffc-4bb8-b9bd-011167f28617|92551b55-7ffc-4bb8-b9bd-011167f28617|a8a2ad56-7041-4f9c-aa00-0f9bb5ba570d|a8a2ad56-7041-4f9c-aa00-0f9bb5ba570d|16c97265-a5e1-42b3-954f-0bf35137edd5|16c97265-a5e1-42b3-954f-0bf35137edd5|252c2fc8-95a1-48fc-a708-e8a769fca265|252c2fc8-95a1-48fc-a708-e8a769fca265|dae692eb-c902-40a8-8282-f698b5c370bf|dae692eb-c902-40a8-8282-f698b5c370bf|dae692eb-c902-40a8-8282-f698b5c370bf|b985b848-72e1-49ce-8ef9-9b543dd095ad|b985b848-72e1-49ce-8ef9-9b543dd095ad|d962180a-daed-437b-91fc-882a5eb3ac21|d962180a-daed-437b-91fc-882a5eb3ac21|8fd60ae9-da8a-4db7-a8af-7432f5367932|058d064c-1b8d-44d8-9767-a85e0da41bec|058d064c-1b8d-44d8-9767-a85e0da41bec|2b304490-caa6-4629-a04d-60e01f636aae|0c5f5a61-d33c-4dcb-babf-82edc4f007e6|0c5f5a61-d33c-4dcb-babf-82edc4f007e6|00e59291-15a8-4fa5-a965-c15374595463|00e59291-15a8-4fa5-a965-c15374595463|52fc01ac-b7cf-41ad-841b-cc30ea23004e|52fc01ac-b7cf-41ad-841b-cc30ea23004e
3,CMP,-,kscta01,66fe4277-5d3f-4982-b7ae-b72319263ba2,UPW_S,25A,26,7,0.6273,3039.0,14750.0,6006.8,26,True,15495.0,15495.0,15495.0,15495.0,adb56770-9974-4a02-b8fb-318fd320d6b3|adb56770-9974-4a02-b8fb-318fd320d6b3|adb56770-9974-4a02-b8fb-318fd320d6b3|adb56770-9974-4a02-b8fb-318fd320d6b3|4c26c113-83ac-4c2f-b442-314e8ed191e1|4c26c113-83ac-4c2f-b442-314e8ed191e1|90f17d8b-c0f0-4b57-8320-c4b320f662da|90f17d8b-c0f0-4b57-8320-c4b320f662da|9028682b-5a1a-46b1-b725-8c110888c99a|9028682b-5a1a-46b1-b725-8c110888c99a|9028682b-5a1a-46b1-b725-8c110888c99a|9028682b-5a1a-46b1-b725-8c110888c99a|9028682b-5a1a-46b1-b725-8c110888c99a|9028682b-5a1a-46b1-b725-8c110888c99a|9028682b-5a1a-46b1-b725-8c110888c99a|9028682b-5a1a-46b1-b725-8c110888c99a|c80e0783-c4a9-4867-bb11-3519ac47dfc1|c80e0783-c4a9-4867-bb11-3519ac47dfc1|c80e0783-c4a9-4867-bb11-3519ac47dfc1|c80e0783-c4a9-4867-bb11-3519ac47dfc1|74171778-37ec-4b7c-b0ae-18fba0910202|74171778-37ec-4b7c-b0ae-18fba0910202|74171778-37ec-4b7c-b0ae-18fba0910202|74171778-37ec-4b7c-b0ae-18fba0910202|e3086dcf-503a-425e-8f4b-2856c1ae2901|e3086dcf-503a-425e-8f4b-2856c1ae2901
4,METAL,-,SLWHJ02,b7d7e257-54d5-48bf-b77b-73f2191e6445,PN2,1/4B,16,5,0.7315,2808.1,15109.5,4388.1,16,True,-,-,-,-,99a28835-815e-4288-9565-c22f7a0a83c2|99a28835-815e-4288-9565-c22f7a0a83c2|99a28835-815e-4288-9565-c22f7a0a83c2|99a28835-815e-4288-9565-c22f7a0a83c2|9fef0329-c045-4578-bd21-dbd63f9a4de1|9fef0329-c045-4578-bd21-dbd63f9a4de1|9fef0329-c045-4578-bd21-dbd63f9a4de1|d08af87d-80f0-459f-bc88-eb7d1ff85ef4|d08af87d-80f0-459f-bc88-eb7d1ff85ef4|d08af87d-80f0-459f-bc88-eb7d1ff85ef4|89e5d182-bf09-4db5-bfb6-72fa7f163c56|89e5d182-bf09-4db5-bfb6-72fa7f163c56|89e5d182-bf09-4db5-bfb6-72fa7f163c56|4232693d-b27d-4849-9090-488dc6728fca|4232693d-b27d-4849-9090-488dc6728fca|4232693d-b27d-4849-9090-488dc6728fca
5,METAL,-,SLWHJ02,b7d7e257-54d5-48bf-b77b-73f2191e6445,Ar,1/4B,15,15,0.7625,2837.9,13600.9,3656.3,15,False,14965.0,15495.0,12254.9,12637.3,1cb270c4-7a38-44c3-8658-32402c62f98b|8db32389-232b-400a-9cbb-4a7ffca27fc6|92551b55-7ffc-4bb8-b9bd-011167f28617|a8a2ad56-7041-4f9c-aa00-0f9bb5ba570d|16c97265-a5e1-42b3-954f-0bf35137edd5|252c2fc8-95a1-48fc-a708-e8a769fca265|dae692eb-c902-40a8-8282-f698b5c370bf|b985b848-72e1-49ce-8ef9-9b543dd095ad|d962180a-daed-437b-91fc-882a5eb3ac21|8fd60ae9-da8a-4db7-a8af-7432f5367932|058d064c-1b8d-44d8-9767-a85e0da41bec|2b304490-caa6-4629-a04d-60e01f636aae|0c5f5a61-d33c-4dcb-babf-82edc4f007e6|00e59291-15a8-4fa5-a965-c15374595463|52fc01ac-b7cf-41ad-841b-cc30ea23004e
6,CLEAN,-,WTNHJ02_,c480262e-d022-45e5-81e0-c30544295ba2,-,1/2B,11,10,0.7502,4160.0,15140.0,6054.5,11,True,-,-,-,-,293286d2-c214-4c96-8024-cb47775a593a|a04dc7ad-39a7-474f-a929-22ca8178edcf|293f3198-8613-4883-abb9-622bfbf96e53|c789b935-73ca-4329-a746-f02aeb82c99d|5d3cd53a-d074-458a-b6c1-56434f8606b6|d0b38e6d-3e26-4712-b8f5-80984f61b797|034b2cc4-706b-42e3-bf59-8a7831d413ac|2c562f2d-7957-424b-b999-bc891cce1c58|36f6875d-9328-4457-bbc0-115297db8973|36f6875d-9328-4457-bbc0-115297db8973|b838c114-3ff8-41f1-8b31-cd03961403f6
7,ETCH,TEST,ELOHJ07,4dbf9af6-759a-4c99-a2bc-845fd0bc2b81,PN2,1/4B,11,5,0.7199,1953.1,15138.7,3432.7,11,True,-,-,-,-,c2916053-d5a6-4fbe-b1f1-3b362c35de47|c2916053-d5a6-4fbe-b1f1-3b362c35de47|c2916053-d5a6-4fbe-b1f1-3b362c35de47|cbf9d256-01d6-4e12-b815-a4f16dffaa26|cbf9d256-01d6-4e12-b815-a4f16dffaa26|d4c307f8-fc02-4fc8-a96b-299ed5e1b044|d4c307f8-fc02-4fc8-a96b-299ed5e1b044|e1593423-4887-441a-b78f-63dbb8fb408d|e1593423-4887-441a-b78f-63dbb8fb408d|3d0703de-fcd4-4407-83b7-4adbe183a347|3d0703de-fcd4-4407-83b7-4adbe183a347
8,CLEAN,-,WTNHJ02_,c480262e-d022-45e5-81e0-c30544295ba2,HOT DI_S,40A,10,5,0.7589,4100.0,13600.0,5214.1,4,False,14899.8,15495.0,12769.9,13160.2,e3d463cf-d483-4e90-b01f-5bb8114535df|e3d463cf-d483-4e90-b01f-5bb8114535df|7a205a2b-0c09-4043-b7b2-b3cdc976740c|7a205a2b-0c09-4043-b7b2-b3cdc976740c|dadca1a9-c04f-4518-adc9-b77a22897dbf|dadca1a9-c04f-4518-adc9-b77a22897dbf|f81d217e-1f4c-433a-a5e6-ce9690ef5a9d|f81d217e-1f4c-433a-a5e6-ce9690ef5a9d|cf33a9fe-0d3b-4035-9907-59076a353b01|cf33a9fe-0d3b-4035-9907-59076a353b01
9,CLEAN,-,WTNHJ02_,c480262e-d022-45e5-81e0-c30544295ba2,UPW_S,40A,10,5,0.7558,4100.0,13600.0,5246.2,4,False,14699.8,15495.0,12769.9,13160.2,c8e9073f-0d2e-4d2b-88fe-2585049a3ddc|c8e9073f-0d2e-4d2b-88fe-2585049a3ddc|9b28dfda-86d5-499d-8147-4a195d9c6a80|9b28dfda-86d5-499d-8147-4a195d9c6a80|776d30bb-86f7-4a92-980c-275523c206a7|776d30bb-86f7-4a92-980c-275523c206a7|2801e2d1-3c29-49cf-bf44-1d722c4f58c6|2801e2d1-3c29-49cf-bf44-1d722c4f58c6|a868cc95-ce63-44f6-b2d9-3cc7283e5e6e|a868cc95-ce63-44f6-b2d9-3cc7283e5e6e
10,METAL,-,SLWHJ02,b7d7e257-54d5-48bf-b77b-73f2191e6445,PA,1/4B,10,3,0.6928,2635.7,15306.9,4672.7,7,False,-,-,12254.9,13606.0,b4a80908-f3cc-4d28-8486-167194ce25eb|b4a80908-f3cc-4d28-8486-167194ce25eb|b4a80908-f3cc-4d28-8486-167194ce25eb|b4a80908-f3cc-4d28-8486-167194ce25eb|63f06de1-94ca-4a1a-a2b2-75ab7afbd469|63f06de1-94ca-4a1a-a2b2-75ab7afbd469|63f06de1-94ca-4a1a-a2b2-75ab7afbd469|5c14d9ba-570a-43fe-b7a4-3983756331bc|5c14d9ba-570a-43fe-b7a4-3983756331bc|5c14d9ba-570a-43fe-b7a4-3983756331bc
